id,row_no,avg_period,date_from,time_from,full_csv_parsed,station,date_to,time_to,parameter,file_path
1,19,4 Hours,01/05/2017,12:00 AM,1,BTM,31/08/2017,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2017_BTM_2/no.csv
2,19,4 Hours,01/05/2017,12:00 AM,1,BTM,31/08/2017,11:45 PM,Relative Humidity(RH),/home/thej/code/cpcb/data/raw/2017_BTM_2/rh.csv
3,19,4 Hours,01/05/2017,12:00 AM,1,BTM,31/08/2017,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2017_BTM_2/so2.csv
4,19,4 Hours,01/05/2017,12:00 AM,1,BTM,31/08/2017,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2017_BTM_2/co.csv
5,19,4 Hours,01/05/2017,12:00 AM,1,BTM,31/08/2017,11:45 PM,Ozone(O3),/home/thej/code/cpcb/data/raw/2017_BTM_2/o3.csv
6,19,4 Hours,01/05/2017,12:00 AM,1,BTM,31/08/2017,11:45 PM,PM 2.5(PM2.5),/home/thej/code/cpcb/data/raw/2017_BTM_2/pm25.csv
7,19,4 Hours,01/05/2017,12:00 AM,1,BTM,31/08/2017,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2017_BTM_2/nox.csv
8,19,4 Hours,01/05/2017,12:00 AM,1,BTM,31/08/2017,11:45 PM,Wind Speed (WS),/home/thej/code/cpcb/data/raw/2017_BTM_2/ws.csv
9,19,4 Hours,01/05/2017,12:00 AM,1,BTM,31/08/2017,11:45 PM,Wind Direction(WD),/home/thej/code/cpcb/data/raw/2017_BTM_2/wd.csv
10,19,4 Hours,01/05/2017,12:00 AM,1,BTM,31/08/2017,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2017_BTM_2/no2.csv
11,19,4 Hours,01/05/2017,12:00 AM,1,Peenya,31/08/2017,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2017_PEENYA_2/no.csv
12,19,4 Hours,01/05/2017,12:00 AM,1,Peenya,31/08/2017,11:45 PM,Relative Humidity(RH),/home/thej/code/cpcb/data/raw/2017_PEENYA_2/rh.csv
13,19,4 Hours,01/05/2017,12:00 AM,1,Peenya,31/08/2017,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2017_PEENYA_2/so2.csv
14,19,4 Hours,01/05/2017,12:00 AM,1,Peenya,31/08/2017,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2017_PEENYA_2/co.csv
15,19,4 Hours,01/05/2017,12:00 AM,1,Peenya,31/08/2017,11:45 PM,PM 2.5(PM2.5),/home/thej/code/cpcb/data/raw/2017_PEENYA_2/pm25.csv
